n,Bias(μ),Var(μ),MSE(μ)
20,-0.0029955696993564374,0.006315740351356775,0.006324713789180477
50,-0.001045011502051274,0.002544195631523764,0.0025452876805631833
100,-0.0001767920019126734,0.0012566143216464327,0.001256645577058373
200,0.0012312378976355731,0.0006776918880233821,0.0006792078347839561
500,-0.0001137526443963921,0.00024814020744942607,0.00024815314711353325
