n,Bias(σ²),Var(σ²),MSE(σ²)
20,-0.0022121397051074326,0.001968269148096066,0.001973162710170979
50,-0.0025664586648873333,0.0007880760744857673,0.0007946627845643427
100,-0.0024515333469979084,0.00042175599410008584,0.0004277660098515286
200,0.0005106275923901227,0.00020790578016283587,0.000208166520700946
500,0.00026306011446616817,9.068694991827909e-05,9.075615054210204e-05
